id,first_name,last_name,email,phone_number,hire_date,job_title,department,salary,manager_id,address,skills
18,Julie,Fox,sroberts@example.com,001-830-703-7542x68400,2017-10-03,Business Development,Sales,104128,,"{'street': '62417 Larsen Lodge Apt. 454', 'city': 'Sharonhaven', 'state': 'IL', 'zip': '07433', 'country': 'USA'}","['AWS', 'Hadoop', 'SQL', 'Excel']"
19,Ashley,Miller,andersonrachael@example.com,001-748-555-9190x65188,2019-09-16,IT Support,IT,111508,,"{'street': '57041 Donald Pass', 'city': 'West Krystalfurt', 'state': 'SD', 'zip': '81045', 'country': 'USA'}","['GCP', 'Docker']"
20,Stephanie,Morales,richaudrey@example.org,(673)608-6084x71233,2019-07-29,Operations Manager,Operations,86818,,"{'street': '023 Jacqueline Island Apt. 640', 'city': 'New Anthonyport', 'state': 'WI', 'zip': '45111', 'country': 'USA'}","['Python', 'AWS', 'Tableau', 'GCP', 'SQL']"
21,Vincent,Smith,isaunders@example.com,(874)899-5161x838,2019-07-28,Sales Representative,Sales,86672,,"{'street': '48868 Daniel Springs', 'city': 'Longtown', 'state': 'OR', 'zip': '17285', 'country': 'USA'}","['SQL', 'Excel']"
22,Courtney,Robinson,oenglish@example.net,001-722-556-7905x3782,2020-01-05,Data Scientist,Engineering,108310,,"{'street': '04453 Gerald Light Apt. 581', 'city': 'Briantown', 'state': 'MI', 'zip': '09119', 'country': 'USA'}","['R', 'PowerBI']"
23,Dan,Watson,emily34@example.net,8259713779,2016-08-20,Sales Representative,Sales,99266,,"{'street': '554 David Meadow', 'city': 'Woodmouth', 'state': 'FM', 'zip': '37322', 'country': 'USA'}","['Tableau', 'Spark']"
24,Kelly,Hernandez,hilljanice@example.org,525.702.4924,2019-02-25,HR Coordinator,HR,90588,,"{'street': '463 Schultz Stream Apt. 988', 'city': 'Kevinland', 'state': 'NH', 'zip': '71136', 'country': 'USA'}","['Kubernetes', 'AWS']"
25,Richard,Smith,richardlester@example.org,999.583.0620x1874,2023-09-14,Marketing Specialist,Marketing,75436,,"{'street': '8283 Gary Hollow', 'city': 'Thompsonside', 'state': 'AS', 'zip': '56763', 'country': 'USA'}","['AWS', 'Tableau', 'R']"
26,Christine,Garcia,nealvicki@example.net,5444967959,2021-09-30,Marketing Manager,Marketing,84166,,"{'street': '169 Jack Trafficway', 'city': 'Martinton', 'state': 'IA', 'zip': '81125', 'country': 'USA'}","['Scala', 'Excel']"
27,Dennis,Hernandez,stewartfaith@example.org,+1-971-607-9975,2022-07-25,Support Agent,Customer Support,70882,,"{'street': '079 Acosta Heights', 'city': 'Port Cynthia', 'state': 'AS', 'zip': '29572', 'country': 'USA'}","['AWS', 'SQL', 'Docker', 'Kubernetes']"
28,Marissa,Sherman,jarviskathryn@example.net,001-506-794-7346x130,2018-02-17,HR Manager,HR,83436,,"{'street': '1468 Teresa Villages Suite 244', 'city': 'East Kelly', 'state': 'TX', 'zip': '89647', 'country': 'USA'}","['Scala', 'Excel']"
29,Mark,Wise,martinezpatricia@example.org,(462)451-9017,2019-07-07,Recruiter,HR,74187,,"{'street': '89343 Patton Prairie Suite 261', 'city': 'Barbaraborough', 'state': 'NH', 'zip': '17812', 'country': 'USA'}","['SQL', 'R', 'AWS', 'Kubernetes', 'Excel']"
30,Sandra,Rosario,vbarnes@example.org,8205428920,2024-08-05,Recruiter,HR,78423,,"{'street': '1572 Ryan Plains Suite 344', 'city': 'Erinton', 'state': 'MA', 'zip': '92497', 'country': 'USA'}","['Python', 'SQL']"
31,Abigail,Brown,kocheddie@example.com,3629423745,2022-08-09,Finance Manager,Finance,93446,,"{'street': '932 Kelly Coves', 'city': 'New Tylerton', 'state': 'KS', 'zip': '25559', 'country': 'USA'}","['AWS', 'Scala']"
32,Bailey,Horton,sherry86@example.net,872-306-8414x32389,2020-08-04,Account Executive,Sales,95732,,"{'street': '47978 Daniels Stravenue', 'city': 'East Fernando', 'state': 'LA', 'zip': '07865', 'country': 'USA'}","['Hadoop', 'Java']"
33,Leah,Bryant,gregory79@example.com,224-746-3959x920,2016-04-17,Support Manager,Customer Support,83996,,"{'street': '63628 Miguel Summit Apt. 165', 'city': 'Lake Zacharyville', 'state': 'PA', 'zip': '92233', 'country': 'USA'}","['Spark', 'Python', 'Tableau', 'Excel']"
34,Yvette,Romero,hgomez@example.com,(354)458-1925x74482,2017-11-16,Business Development,Sales,96650,,"{'street': '125 Johnathan Brooks Suite 548', 'city': 'Ginaside', 'state': 'AS', 'zip': '82374', 'country': 'USA'}","['Kubernetes', 'Scala', 'Spark', 'Azure']"
35,Michael,Jones,madison33@example.net,590.685.4642x770,2022-10-31,Auditor,Finance,97738,,"{'street': '168 Paige Viaduct', 'city': 'Sanchezshire', 'state': 'VI', 'zip': '17981', 'country': 'USA'}","['Scala', 'PowerBI', 'Kubernetes', 'Azure', 'Tableau']"
36,Hannah,Webb,towens@example.com,825-395-6665x438,2016-09-19,HR Coordinator,HR,83167,,"{'street': '109 Tyler Trafficway', 'city': 'Jeffreymouth', 'state': 'ND', 'zip': '18460', 'country': 'USA'}","['Scala', 'Java', 'GCP']"
37,Jennifer,Cunningham,yharrison@example.net,7244806078,2019-01-29,Operations Analyst,Operations,85551,,"{'street': '889 Lewis Shoals', 'city': 'West Alanland', 'state': 'KY', 'zip': '72774', 'country': 'USA'}","['Docker', 'Azure', 'SQL', 'Java']"
38,Michael,Stevens,burnselizabeth@example.com,+1-756-506-1692,2016-02-06,Accountant,Finance,110946,,"{'street': '673 Hunt Inlet Apt. 724', 'city': 'Thomastown', 'state': 'VT', 'zip': '99896', 'country': 'USA'}","['R', 'Excel', 'Kubernetes']"
39,Jacob,Haney,ronaldwilliams@example.org,(777)747-3554x8007,2020-06-02,Finance Manager,Finance,89981,,"{'street': '7878 Murphy Field', 'city': 'Richardbury', 'state': 'TN', 'zip': '70671', 'country': 'USA'}","['PowerBI', 'Azure']"
40,Bradley,Brown,simpsonjerry@example.com,(563)540-1053x2224,2019-01-09,Auditor,Finance,106275,,"{'street': '96432 Smith Junction', 'city': 'Victorville', 'state': 'TN', 'zip': '10708', 'country': 'USA'}","['GCP', 'Spark', 'Excel', 'Python']"
41,Douglas,Decker,melissaperry@example.com,388.247.8843,2025-01-03,Network Engineer,IT,90297,,"{'street': '8373 Robert Mission Apt. 482', 'city': 'Williamsburgh', 'state': 'MO', 'zip': '41207', 'country': 'USA'}","['AWS', 'Spark']"
42,Michael,Olson,proberts@example.net,(833)475-9301x516,2018-01-31,Talent Acquisition,HR,77924,,"{'street': '241 Harris Plaza Suite 793', 'city': 'Carolynview', 'state': 'ID', 'zip': '15397', 'country': 'USA'}","['Scala', 'Docker', 'Java', 'Azure']"
43,Shirley,Ross,phillip33@example.org,831.222.3204,2017-02-19,Engineering Manager,Engineering,103168,,"{'street': '6420 Joshua Falls', 'city': 'Johnhaven', 'state': 'MN', 'zip': '65620', 'country': 'USA'}","['Tableau', 'R', 'GCP']"
44,Kayla,Moyer,leonardbuck@example.org,001-542-860-9857x8506,2021-12-31,Operations Analyst,Operations,79285,,"{'street': '40594 Miller Garden', 'city': 'South Timothy', 'state': 'AR', 'zip': '77166', 'country': 'USA'}","['Java', 'Python']"
45,James,Bell,karenpierce@example.com,282-459-4400,2021-02-22,Talent Acquisition,HR,84030,,"{'street': '4997 Nelson Glen Suite 143', 'city': 'Maryfurt', 'state': 'TX', 'zip': '86470', 'country': 'USA'}","['Tableau', 'AWS']"
46,Norman,Fields,kevinclark@example.com,5089558425,2017-01-25,Brand Strategist,Marketing,90052,,"{'street': '31065 Daniel Tunnel', 'city': 'Amberview', 'state': 'NE', 'zip': '39556', 'country': 'USA'}","['R', 'Scala', 'Docker', 'Hadoop']"
47,Derek,Kelley,christinaphillips@example.com,001-859-724-1635x2817,2021-04-28,Software Engineer,Engineering,93928,,"{'street': '39529 Cynthia Fields', 'city': 'Evansville', 'state': 'RI', 'zip': '55014', 'country': 'USA'}","['SQL', 'GCP', 'Docker']"
48,Lauren,Lucero,vortega@example.org,+1-393-742-7261x8984,2023-12-04,Brand Strategist,Marketing,82445,,"{'street': '81102 Jensen Street', 'city': 'New Lindsey', 'state': 'OR', 'zip': '39659', 'country': 'USA'}","['Hadoop', 'Tableau']"
49,Donna,Drake,william44@example.org,6893273621,2021-02-21,Sales Analyst,Sales,81641,,"{'street': '423 Philip Turnpike', 'city': 'Monicamouth', 'state': 'NE', 'zip': '38442', 'country': 'USA'}","['AWS', 'Scala']"
50,Denise,Walters,cynthiathomas@example.net,001-376-978-1663x551,2021-01-25,IT Manager,IT,97803,,"{'street': '41343 Valencia Ridges Suite 273', 'city': 'East Teresaburgh', 'state': 'VT', 'zip': '88206', 'country': 'USA'}","['Hadoop', 'SQL', 'Python']"
51,Karen,Powell,monicahuffman@example.org,2502338065,2017-09-10,Marketing Manager,Marketing,84588,25.0,"{'street': '830 Ramirez Crest Apt. 900', 'city': 'North Monicamouth', 'state': 'MN', 'zip': '11858', 'country': 'USA'}","['Azure', 'GCP', 'Scala', 'Spark']"
52,Stephen,Gallagher,cwilliams@example.org,329.829.0512x7289,2023-10-20,Financial Analyst,Finance,86259,26.0,"{'street': '938 Shannon Keys', 'city': 'Port Jimmyshire', 'state': 'PW', 'zip': '36360', 'country': 'USA'}","['Hadoop', 'Tableau', 'Azure', 'Spark', 'Python']"
53,Dennis,Moore,jfernandez@example.org,001-450-379-3059,2025-04-14,Controller,Finance,84005,8.0,"{'street': '437 Adams Divide', 'city': 'Chambershaven', 'state': 'CO', 'zip': '86259', 'country': 'USA'}","['Excel', 'Scala', 'AWS', 'Java', 'Tableau']"
54,Natalie,Espinoza,stephenmiller@example.com,942-417-6283x0903,2021-10-06,Operations Analyst,Operations,83125,46.0,"{'street': '251 Shannon Islands Suite 738', 'city': 'North Carmen', 'state': 'HI', 'zip': '93191', 'country': 'USA'}","['Scala', 'Python', 'Hadoop']"
55,Andrew,Brown,natalie80@example.com,783-595-2673,2025-05-19,Auditor,Finance,91112,47.0,"{'street': '15096 Vincent Lake Suite 207', 'city': 'Curtisfort', 'state': 'KS', 'zip': '19987', 'country': 'USA'}","['Azure', 'R', 'Java', 'AWS', 'GCP']"
56,Rachel,Lee,shannon95@example.net,525-605-1109x6608,2015-10-08,Business Development,Sales,107356,29.0,"{'street': '4549 Laura Corners', 'city': 'Thomasshire', 'state': 'AR', 'zip': '40406', 'country': 'USA'}","['GCP', 'AWS', 'PowerBI', 'SQL', 'Excel']"
57,David,Pena,bankstammy@example.net,665-922-4504,2022-09-28,Business Development,Sales,83969,14.0,"{'street': '70865 Dean Avenue', 'city': 'New Linda', 'state': 'WI', 'zip': '37336', 'country': 'USA'}","['AWS', 'Azure', 'Tableau']"
58,Jennifer,Carlson,greenedonald@example.net,001-624-636-2844,2015-07-19,Operations Manager,Operations,86436,23.0,"{'street': '5624 Robert Roads Suite 407', 'city': 'Port Melinda', 'state': 'ME', 'zip': '94383', 'country': 'USA'}","['R', 'Excel', 'Hadoop', 'Kubernetes', 'Tableau']"
59,Seth,Walker,mark22@example.net,893.414.2731,2020-04-03,Finance Manager,Finance,107562,26.0,"{'street': '4618 Shelly Burg Suite 821', 'city': 'Blackburnfort', 'state': 'ME', 'zip': '54704', 'country': 'USA'}","['Python', 'SQL']"
60,Patricia,Moreno,jthompson@example.org,443.292.1428,2020-09-16,Customer Success,Customer Support,74032,48.0,"{'street': '0214 Joshua Harbor Suite 453', 'city': 'North Ashley', 'state': 'IN', 'zip': '73850', 'country': 'USA'}","['Python', 'GCP', 'Hadoop', 'Excel', 'PowerBI']"
61,Audrey,Parker,angelasaunders@example.net,(439)217-8536x36418,2018-10-20,Technical Support,Customer Support,83781,39.0,"{'street': '74340 Garcia Hill Apt. 473', 'city': 'Vargaston', 'state': 'DE', 'zip': '57454', 'country': 'USA'}","['Tableau', 'Kubernetes', 'Azure', 'Java', 'Python']"
62,Linda,Ball,poolesabrina@example.org,2903721215,2019-11-30,Support Agent,Customer Support,82871,1.0,"{'street': '3075 Mccullough Unions Apt. 090', 'city': 'Port Jamesville', 'state': 'TX', 'zip': '46126', 'country': 'USA'}","['Azure', 'Scala', 'R', 'Hadoop']"
63,Jacqueline,Reyes,bakerdaniel@example.net,(923)449-8738,2017-05-14,Business Development,Sales,105587,9.0,"{'street': '349 Scott Cliffs', 'city': 'West Whitney', 'state': 'PA', 'zip': '86175', 'country': 'USA'}","['GCP', 'Tableau', 'Azure', 'PowerBI', 'Docker']"
64,Tiffany,Johnson,robert46@example.com,(419)773-8326x92547,2018-08-14,System Administrator,IT,96707,9.0,"{'street': '8169 Solis Tunnel Apt. 499', 'city': 'Loriberg', 'state': 'VT', 'zip': '69170', 'country': 'USA'}","['AWS', 'PowerBI']"
65,Bryan,Yu,wallaceamanda@example.net,(585)525-4205x72721,2021-10-06,HR Coordinator,HR,76492,11.0,"{'street': '8129 Jacobs Falls', 'city': 'New Melissaside', 'state': 'UT', 'zip': '15029', 'country': 'USA'}","['Spark', 'Hadoop', 'Azure', 'SQL', 'Kubernetes']"
66,Bradley,Li,cpeterson@example.net,(344)880-6146x61503,2025-01-03,DevOps Engineer,Engineering,91020,49.0,"{'street': '157 Burke Loaf', 'city': 'North Matthewstad', 'state': 'MS', 'zip': '26640', 'country': 'USA'}","['Excel', 'Java', 'Azure']"
67,Erika,Cohen,joseph00@example.org,+1-220-388-6726x6836,2024-09-01,Finance Manager,Finance,83030,41.0,"{'street': '53676 Stewart Walk Apt. 691', 'city': 'North Nicole', 'state': 'GU', 'zip': '98705', 'country': 'USA'}","['Java', 'Hadoop']"
68,Carl,Murphy,castillotimothy@example.com,445.816.9411,2020-08-07,Finance Manager,Finance,92204,29.0,"{'street': '294 Jones Hills', 'city': 'South Dominique', 'state': 'CA', 'zip': '31537', 'country': 'USA'}","['Java', 'PowerBI', 'Hadoop', 'Excel', 'Docker']"
69,Mark,Howard,vincentmorrison@example.net,(336)327-9419,2024-12-21,Data Scientist,Engineering,85049,45.0,"{'street': '2809 Virginia Throughway Apt. 627', 'city': 'Sweeneychester', 'state': 'AR', 'zip': '02839', 'country': 'USA'}","['Docker', 'Azure', 'SQL']"
70,Dawn,Pham,swilson@example.org,861.607.3719,2019-01-11,Operations Analyst,Operations,86678,23.0,"{'street': '830 Brenda Isle Apt. 128', 'city': 'New Mary', 'state': 'DE', 'zip': '10087', 'country': 'USA'}","['AWS', 'Java', 'Docker', 'GCP', 'Excel']"
71,Julie,Anderson,lisa54@example.com,871.621.5490,2020-05-07,Operations Manager,Operations,75542,16.0,"{'street': '2982 Kelley Ports Apt. 444', 'city': 'North Adamland', 'state': 'FL', 'zip': '01438', 'country': 'USA'}","['Kubernetes', 'Spark', 'Hadoop']"
72,Kristen,Orr,edwardkelley@example.org,576.230.0082x563,2024-04-28,Sales Analyst,Sales,86398,45.0,"{'street': '23411 Lee Center Apt. 644', 'city': 'Ortizchester', 'state': 'MP', 'zip': '50696', 'country': 'USA'}","['R', 'Python', 'GCP']"
73,Stephanie,Powell,hoffmanmatthew@example.com,504-723-7643x7630,2018-01-25,Project Manager,Operations,81589,21.0,"{'street': '4184 Lee Valleys Apt. 722', 'city': 'East Rebeccaview', 'state': 'DC', 'zip': '06694', 'country': 'USA'}","['Tableau', 'Python']"
74,Kurt,Willis,teresa62@example.net,995.988.0599x808,2024-06-21,Business Development,Sales,84982,40.0,"{'street': '514 Delacruz Place Apt. 303', 'city': 'Kimton', 'state': 'PR', 'zip': '48689', 'country': 'USA'}","['Spark', 'PowerBI', 'Tableau']"
75,Steven,Wiley,mercerdavid@example.net,809.318.9432x2199,2024-05-21,HR Director,HR,78315,10.0,"{'street': '77364 Lee Fields', 'city': 'East Tara', 'state': 'NH', 'zip': '70837', 'country': 'USA'}","['Azure', 'Java', 'GCP']"
76,Jeffrey,Robinson,nicolepugh@example.com,001-810-982-4884x696,2024-03-17,Content Creator,Marketing,76655,20.0,"{'street': '1200 Aaron Crossroad', 'city': 'Erikview', 'state': 'WY', 'zip': '01872', 'country': 'USA'}","['Kubernetes', 'Azure', 'Scala', 'AWS', 'SQL']"
77,Tonya,Macias,michael62@example.org,(581)736-3816x6321,2020-05-05,Finance Manager,Finance,90656,7.0,"{'street': '5812 Cervantes Pass Suite 622', 'city': 'West Jenna', 'state': 'KY', 'zip': '95864', 'country': 'USA'}","['Kubernetes', 'Excel']"
78,Russell,Martin,thomassantos@example.com,287-835-0104x722,2018-08-31,Operations Manager,Operations,89448,18.0,"{'street': '1739 Nunez Mill Apt. 781', 'city': 'South Brittany', 'state': 'DE', 'zip': '43318', 'country': 'USA'}","['Hadoop', 'Python', 'Tableau', 'Azure']"
79,Veronica,Burns,lauren64@example.org,(760)966-8321x893,2019-11-30,COO,Operations,75939,18.0,"{'street': '0234 Perry Terrace', 'city': 'South Stevenfurt', 'state': 'NH', 'zip': '16509', 'country': 'USA'}","['Python', 'SQL', 'Tableau', 'R', 'AWS']"
80,Kenneth,Benjamin,james73@example.com,633.815.6797x27127,2019-03-12,IT Support,IT,104364,7.0,"{'street': '032 Simmons Street', 'city': 'Knoxberg', 'state': 'NY', 'zip': '61621', 'country': 'USA'}","['Azure', 'Excel']"
81,Christopher,Walter,merrittcraig@example.com,+1-981-636-5704x066,2019-05-05,Data Scientist,Engineering,110871,47.0,"{'street': '19661 Thomas Drive', 'city': 'Port Danielle', 'state': 'NJ', 'zip': '25670', 'country': 'USA'}","['Scala', 'Docker', 'Java', 'AWS', 'Tableau']"
82,Christopher,Todd,whitestephanie@example.com,836-302-5557x270,2020-09-23,Customer Experience,Customer Support,77788,46.0,"{'street': '3472 Murphy Squares', 'city': 'North Ryan', 'state': 'NH', 'zip': '30453', 'country': 'USA'}","['Java', 'Scala', 'Tableau', 'Kubernetes', 'Docker']"
83,Dawn,Hall,christine55@example.org,001-728-200-5399x670,2019-04-28,Sales Analyst,Sales,86549,50.0,"{'street': '00568 Kim Rue', 'city': 'New Shelia', 'state': 'VT', 'zip': '30594', 'country': 'USA'}","['Excel', 'Scala']"
84,Cody,Young,kelliedwards@example.net,+1-583-323-4790x135,2016-05-13,IT Support,IT,121233,19.0,"{'street': '6595 Taylor Radial Apt. 657', 'city': 'East William', 'state': 'WV', 'zip': '23020', 'country': 'USA'}","['R', 'Docker', 'Azure', 'Scala']"
85,Duane,Todd,mbenson@example.org,644.584.0161,2023-12-27,Auditor,Finance,95275,22.0,"{'street': '6658 Lori Extensions Apt. 639', 'city': 'Millerhaven', 'state': 'NY', 'zip': '24988', 'country': 'USA'}","['R', 'Kubernetes', 'Excel']"
86,Debra,Bryan,suarezthomas@example.net,+1-555-375-4732x5143,2018-02-09,DevOps Engineer,Engineering,100198,49.0,"{'street': '2621 Burns Land Apt. 577', 'city': 'Dawnbury', 'state': 'MN', 'zip': '57968', 'country': 'USA'}","['Scala', 'Tableau', 'GCP', 'Spark', 'Hadoop']"
87,Jessica,Newman,kristen18@example.com,001-997-817-9355x50296,2017-03-31,Operations Analyst,Operations,97915,17.0,"{'street': '26886 Fritz Walk', 'city': 'Hunterside', 'state': 'MN', 'zip': '27456', 'country': 'USA'}","['Python', 'R']"
88,Maurice,Vargas,pjohnson@example.com,+1-608-806-7614,2021-01-12,Content Creator,Marketing,77978,3.0,"{'street': '437 Jessica Brooks Apt. 305', 'city': 'Lake Lynn', 'state': 'OR', 'zip': '55019', 'country': 'USA'}","['Python', 'Azure', 'Docker', 'Spark']"
89,Jenna,Moore,mshelton@example.com,337.203.5510x806,2021-08-27,Support Manager,Customer Support,74475,27.0,"{'street': '511 Carrie Street', 'city': 'Wendyview', 'state': 'KS', 'zip': '22626', 'country': 'USA'}","['Kubernetes', 'Tableau', 'SQL', 'Azure']"
90,William,Adkins,kristen73@example.com,2498621471,2018-01-05,Finance Manager,Finance,102905,5.0,"{'street': '6969 David Bridge', 'city': 'Patrickberg', 'state': 'OH', 'zip': '98640', 'country': 'USA'}","['Java', 'AWS', 'Hadoop', 'Kubernetes']"
91,Andrea,Taylor,richardjohnston@example.net,(341)793-5780x157,2021-11-08,Data Scientist,Engineering,95984,31.0,"{'street': '248 Reginald Cliff Apt. 116', 'city': 'North Manuelland', 'state': 'NJ', 'zip': '64874', 'country': 'USA'}","['Kubernetes', 'Docker', 'SQL', 'Hadoop', 'PowerBI']"
92,William,Hampton,coxdaniel@example.org,+1-594-651-6419x476,2016-11-22,HR Director,HR,85166,23.0,"{'street': '10186 Gonzalez Parks Apt. 328', 'city': 'Veronicaberg', 'state': 'MH', 'zip': '23495', 'country': 'USA'}","['Hadoop', 'Kubernetes']"
93,Donald,Marshall,elizabethweiss@example.org,(494)465-9429,2024-05-14,IT Support,IT,85793,22.0,"{'street': '2396 Graham Spurs', 'city': 'Tracybury', 'state': 'UT', 'zip': '21394', 'country': 'USA'}","['AWS', 'Scala']"
94,Eric,Perkins,amay@example.org,(605)426-1867x57359,2017-07-18,Marketing Manager,Marketing,87957,9.0,"{'street': '94931 Palmer Landing Suite 463', 'city': 'New Allisonbury', 'state': 'OR', 'zip': '88051', 'country': 'USA'}","['Excel', 'Scala']"
95,Michael,Armstrong,stephaniesalazar@example.net,304.860.0234x56249,2021-03-16,Content Creator,Marketing,85746,2.0,"{'street': '7519 Angel Creek', 'city': 'Amymouth', 'state': 'PA', 'zip': '43901', 'country': 'USA'}","['Excel', 'Java']"
96,Andrew,Chambers,nathan79@example.net,7066118906,2021-06-06,Software Engineer,Engineering,96045,30.0,"{'street': '075 Johnson Stravenue Apt. 694', 'city': 'Lake Miguelton', 'state': 'IA', 'zip': '63964', 'country': 'USA'}","['PowerBI', 'Tableau', 'Python']"
97,Brandon,Smith,mruiz@example.com,498-549-8023x46105,2015-11-14,Marketing Manager,Marketing,88107,11.0,"{'street': '8076 Hart Spur', 'city': 'West Tyler', 'state': 'NC', 'zip': '14532', 'country': 'USA'}","['R', 'Java', 'Kubernetes', 'Spark', 'Tableau']"
98,Alyssa,Kim,mayjoseph@example.com,001-240-230-7692x94331,2025-01-03,Sales Representative,Sales,74956,43.0,"{'street': '618 Jordan Trafficway', 'city': 'Lake Jessica', 'state': 'MH', 'zip': '10289', 'country': 'USA'}","['Java', 'Spark', 'AWS', 'Python', 'Scala']"
99,Heather,Sullivan,michaeljones@example.com,(823)200-7744,2022-05-10,Sales Manager,Sales,85382,3.0,"{'street': '4201 David Estates Suite 160', 'city': 'New Jennifer', 'state': 'GA', 'zip': '90296', 'country': 'USA'}","['GCP', 'AWS', 'Docker', 'Java', 'Scala']"
100,Rachel,Jones,kara48@example.net,001-435-314-3999,2018-08-13,Brand Strategist,Marketing,97926,37.0,"{'street': '935 Gibbs Lights', 'city': 'Williamstown', 'state': 'HI', 'zip': '60769', 'country': 'USA'}","['Spark', 'Excel', 'GCP']"
101,David,Henry,bethanygonzalez@example.org,+1-367-985-8855x2585,2016-10-22,Customer Success,Customer Support,85129,1.0,"{'street': '129 Jackson Landing', 'city': 'Thorntonchester', 'state': 'VI', 'zip': '42694', 'country': 'USA'}","['GCP', 'AWS']"
