customer_id,first_name,last_name,email,phone,registration_date,last_activity_date,segment,total_purchases,total_spent,average_order_value,acquisition_channel,is_active,address,preferences
16,Patricia,Smith,dprice@example.net,(571)695-9802x09579,2024-04-24,2024-11-27,Premium,6,3957.17,304.71,Social Media,True,"{'street': '5849 Derek Hollow Suite 552', 'city': 'Arthurhaven', 'state': 'FL', 'zip': '90829', 'country': 'USA'}","{'preferred_categories': ['Electronics', 'Appliances'], 'communication_preferences': ['SMS'], 'favorite_products': [50, 17, 38, 25]}"
17,Brianna,Reilly,lorrainesnyder@example.net,(726)613-9764,2022-05-25,2022-10-12,New,19,12868.42,416.0,Social Media,True,"{'street': '316 Steven Lodge Suite 131', 'city': 'South Rachel', 'state': 'MO', 'zip': '51326', 'country': 'USA'}","{'preferred_categories': ['Electronics', 'Appliances'], 'communication_preferences': ['Phone', 'Email', 'Mail'], 'favorite_products': [51, 89]}"
18,Abigail,Johnson,enorman@example.com,726.501.8895x309,2022-12-28,2024-10-03,New,4,5826.63,288.42,Advertisement,True,"{'street': '4767 John Road Apt. 141', 'city': 'Huertaville', 'state': 'CT', 'zip': '65567', 'country': 'USA'}","{'preferred_categories': ['Electronics', 'Clothing'], 'communication_preferences': ['SMS', 'Mail', 'Phone'], 'favorite_products': [97, 74, 43, 68]}"
19,Kristopher,Robinson,tina94@example.net,8142583448,2021-03-29,2023-09-08,Premium,39,2132.2,56.92,Referral,False,"{'street': '18218 Bryan Mills Suite 348', 'city': 'New Josephtown', 'state': 'DC', 'zip': '25585', 'country': 'USA'}","{'preferred_categories': ['Appliances'], 'communication_preferences': ['Phone', 'SMS', 'Mail'], 'favorite_products': [90]}"
20,Jennifer,Weber,garciatimothy@example.org,(979)276-6490x4775,2025-03-20,2025-03-29,Regular,0,478.89,478.89,Direct,True,"{'street': '04025 Campbell Mission Apt. 926', 'city': 'Lake Jamesport', 'state': 'NM', 'zip': '99551', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Electronics', 'Clothing'], 'communication_preferences': ['Email', 'Phone', 'SMS'], 'favorite_products': [65, 92, 11, 90, 86]}"
21,Stacy,Carter,reyesmichael@example.org,247-815-9552x6062,2020-11-20,2021-05-29,New,15,9319.53,227.35,Direct,True,"{'street': '464 Tim Village Apt. 579', 'city': 'West Johnborough', 'state': 'VT', 'zip': '76647', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['Email', 'Phone', 'Mail'], 'favorite_products': []}"
22,Edward,Harrison,amyhowell@example.net,6294951000,2021-12-21,2023-06-12,Regular,34,8519.22,423.7,Direct,True,"{'street': '5818 Patrick Port Apt. 121', 'city': 'North James', 'state': 'UT', 'zip': '74683', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['Email'], 'favorite_products': [30, 48, 86, 15]}"
23,Joshua,Berry,emyers@example.org,+1-336-511-5981x02524,2023-02-18,2023-04-03,New,19,1257.91,62.55,Web Search,False,"{'street': '61265 Griffith Estate Suite 374', 'city': 'North Valerieside', 'state': 'ID', 'zip': '48736', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Electronics'], 'communication_preferences': ['Mail', 'SMS', 'Email'], 'favorite_products': [55, 40]}"
24,Samantha,Walker,claudia07@example.org,652-867-0447,2024-02-02,2024-12-30,Regular,14,5050.65,624.02,Advertisement,True,"{'street': '30511 Nicole Drives Suite 157', 'city': 'Kellyburgh', 'state': 'MD', 'zip': '39120', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['SMS', 'Phone'], 'favorite_products': []}"
25,Steven,Parker,mmata@example.org,001-880-606-3760x31724,2021-04-17,2025-04-14,Regular,32,1754.5,80.29,Advertisement,True,"{'street': '231 Robinson Ports', 'city': 'Hicksfort', 'state': 'FL', 'zip': '82984', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Electronics', 'Appliances'], 'communication_preferences': ['Phone', 'Email', 'Mail'], 'favorite_products': [40, 85, 66, 43]}"
26,Mary,Bell,jacobcallahan@example.net,+1-697-468-5915x1121,2021-05-15,2024-04-09,New,16,5847.65,161.16,Social Media,True,"{'street': '5115 Luna Tunnel Apt. 915', 'city': 'Jamesport', 'state': 'GA', 'zip': '86053', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Furniture'], 'communication_preferences': ['Email', 'Mail', 'SMS'], 'favorite_products': [16, 95, 15, 39, 85]}"
27,James,Cook,wwashington@example.org,001-990-265-0756x731,2022-10-12,2025-03-22,New,30,16608.54,1854.73,Referral,True,"{'street': '93011 Patrick Brooks Apt. 964', 'city': 'West James', 'state': 'MD', 'zip': '91231', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Appliances'], 'communication_preferences': ['Email', 'Mail'], 'favorite_products': [88, 85]}"
28,Anthony,Bullock,floreselizabeth@example.org,909-631-5789,2025-02-03,2025-04-17,New,2,952.27,648.16,Direct,True,"{'street': '6766 Jose Meadow', 'city': 'Reynoldsberg', 'state': 'ND', 'zip': '37951', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Furniture'], 'communication_preferences': ['Email', 'Mail', 'Phone'], 'favorite_products': [21, 24, 84, 74]}"
29,Michael,Bender,cwall@example.com,4549560394,2025-01-01,2025-04-26,Premium,2,1421.41,824.28,Referral,False,"{'street': '846 Travis Mill Apt. 156', 'city': 'Julieburgh', 'state': 'AK', 'zip': '02608', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Clothing'], 'communication_preferences': ['Phone'], 'favorite_products': []}"
30,Jonathan,Rowe,christopher28@example.org,333-309-2789x58238,2021-07-25,2025-05-06,Premium,13,10404.39,407.5,Advertisement,True,"{'street': '4927 Thomas Ferry Suite 538', 'city': 'Port Charleston', 'state': 'TX', 'zip': '12023', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Electronics', 'Furniture'], 'communication_preferences': ['Phone', 'Email'], 'favorite_products': []}"
31,Grace,Foster,randolphjennifer@example.com,+1-501-296-1762,2024-08-23,2024-12-30,Regular,7,2544.06,813.14,Direct,False,"{'street': '4344 Adams Via Suite 438', 'city': 'Huberberg', 'state': 'AS', 'zip': '47831', 'country': 'USA'}","{'preferred_categories': ['Electronics', 'Appliances', 'Furniture'], 'communication_preferences': ['Phone', 'Email', 'Mail'], 'favorite_products': [57, 4]}"
32,Mia,Reed,mike22@example.net,+1-315-382-0176x688,2021-09-19,2023-06-08,Premium,36,4331.38,125.73,Web Search,True,"{'street': '7729 Brooks Centers Suite 893', 'city': 'West Aprilview', 'state': 'WI', 'zip': '46987', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Clothing', 'Furniture'], 'communication_preferences': ['Mail'], 'favorite_products': []}"
33,Michael,Ryan,jenniferperez@example.org,(334)486-3190x9115,2022-02-24,2023-05-10,Regular,34,13416.45,468.35,Partner,True,"{'street': '4358 Jerry Camp', 'city': 'Wileyfurt', 'state': 'WA', 'zip': '95366', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['Mail', 'Phone'], 'favorite_products': [10, 66, 83, 11]}"
34,Ashley,Joseph,williambaker@example.org,(772)582-6599x600,2023-11-28,2024-01-04,VIP,16,2874.77,666.47,Direct,True,"{'street': '5676 John Mission Apt. 583', 'city': 'Ochoashire', 'state': 'PA', 'zip': '48669', 'country': 'USA'}","{'preferred_categories': ['Electronics', 'Appliances', 'Clothing'], 'communication_preferences': ['Email'], 'favorite_products': [44, 81]}"
35,Luis,Snyder,kellylisa@example.org,2909203285,2020-11-17,2021-03-11,Premium,41,27764.55,635.92,Social Media,True,"{'street': '7241 Henderson Motorway', 'city': 'Danielborough', 'state': 'AS', 'zip': '61956', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Electronics', 'Appliances'], 'communication_preferences': ['Email', 'Phone'], 'favorite_products': []}"
36,Austin,Parker,angela67@example.com,(341)267-9474x03028,2023-05-11,2024-04-06,New,10,12765.77,1106.46,Partner,True,"{'street': '49984 Sanchez Circle', 'city': 'Port Victoriatown', 'state': 'FM', 'zip': '79865', 'country': 'USA'}","{'preferred_categories': ['Appliances'], 'communication_preferences': ['Phone'], 'favorite_products': [6, 77]}"
37,Zachary,Soto,walterbradley@example.com,780-359-5740x109,2022-10-11,2023-08-20,Regular,23,2139.16,80.83,Direct,True,"{'street': '545 Wong Mills Suite 228', 'city': 'Lake Meganport', 'state': 'SD', 'zip': '76578', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['SMS'], 'favorite_products': [64, 99]}"
38,Dustin,Reynolds,pamela74@example.net,001-869-614-1809x2604,2023-06-19,2023-12-06,Regular,7,5918.73,407.15,Direct,False,"{'street': '97394 Joy Manors Apt. 279', 'city': 'Port Beckyshire', 'state': 'MO', 'zip': '44659', 'country': 'USA'}","{'preferred_categories': ['Electronics', 'Clothing', 'Furniture'], 'communication_preferences': ['Phone'], 'favorite_products': [64, 80]}"
39,Stephen,Turner,rgomez@example.net,(664)338-3137,2023-12-01,2025-04-25,New,7,1708.58,104.04,Advertisement,True,"{'street': '0007 Wilson Port Suite 280', 'city': 'Garciaport', 'state': 'UT', 'zip': '72275', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Furniture'], 'communication_preferences': ['Mail', 'SMS', 'Phone'], 'favorite_products': [52, 2, 69]}"
40,Donna,Baldwin,jeffrey47@example.net,001-322-352-3578,2023-02-26,2024-08-22,New,5,3565.87,212.23,Social Media,True,"{'street': '5121 Thompson Lodge Apt. 892', 'city': 'Timothymouth', 'state': 'ME', 'zip': '26525', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Furniture'], 'communication_preferences': ['SMS'], 'favorite_products': [35, 97, 40]}"
41,Steven,Mills,lauralane@example.org,001-526-502-6391x421,2025-03-03,2025-05-15,Regular,1,554.98,339.36,Partner,True,"{'street': '390 Sheila Inlet', 'city': 'Dylanport', 'state': 'PA', 'zip': '78817', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['Mail', 'Email'], 'favorite_products': [29, 6, 14]}"
42,Rachel,Olson,coryolson@example.com,001-992-581-8150x06202,2025-01-31,2025-02-09,Premium,1,1193.96,404.26,Direct,True,"{'street': '893 Aaron Avenue Apt. 265', 'city': 'Port Joshua', 'state': 'VA', 'zip': '40587', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Appliances', 'Electronics'], 'communication_preferences': ['Email', 'Phone'], 'favorite_products': [90, 6, 10]}"
43,Kathleen,Morrison,danielwood@example.com,001-278-334-1749,2021-07-13,2021-12-28,New,33,21244.68,995.86,Web Search,True,"{'street': '40453 Jessica Alley Suite 931', 'city': 'Deannaside', 'state': 'NV', 'zip': '31512', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Clothing'], 'communication_preferences': ['Phone', 'SMS', 'Mail'], 'favorite_products': [17]}"
44,Monica,Martinez,chadmartinez@example.org,624-564-2542x65059,2023-04-30,2023-09-14,Regular,11,2853.65,979.05,Partner,True,"{'street': '185 Charles Oval Suite 753', 'city': 'Davidborough', 'state': 'MS', 'zip': '48145', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Electronics', 'Clothing'], 'communication_preferences': ['SMS'], 'favorite_products': [99, 27, 3, 20, 8]}"
45,Kelly,Graham,taylornina@example.org,304.435.3830x880,2025-05-13,2025-05-13,Premium,0,67.56,67.56,Advertisement,True,"{'street': '169 Anderson Oval Apt. 292', 'city': 'West Kenneth', 'state': 'FL', 'zip': '59234', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Appliances'], 'communication_preferences': ['Mail', 'Phone', 'SMS'], 'favorite_products': [72, 87, 19]}"
46,David,Sullivan,april27@example.net,(262)850-3559x897,2023-07-23,2025-05-12,New,3,5489.06,1419.54,Advertisement,False,"{'street': '04581 Galvan Shores Suite 600', 'city': 'Lake Ericborough', 'state': 'VA', 'zip': '66001', 'country': 'USA'}","{'preferred_categories': ['Electronics', 'Furniture', 'Clothing'], 'communication_preferences': ['SMS', 'Email'], 'favorite_products': [29, 87, 55, 48, 17]}"
47,Lindsay,Moore,huntjessica@example.com,+1-368-696-6228x4667,2025-02-09,2025-03-09,Premium,3,829.92,273.23,Referral,True,"{'street': '395 Hayes Plain', 'city': 'New Brianshire', 'state': 'MO', 'zip': '13384', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['Email'], 'favorite_products': [32, 86, 56, 7, 14]}"
48,Jonathan,White,ndaniel@example.net,534.286.4403,2022-03-20,2024-04-16,New,15,5799.54,328.4,Direct,True,"{'street': '8679 Conley Throughway Suite 196', 'city': 'Washingtonberg', 'state': 'NY', 'zip': '04798', 'country': 'USA'}","{'preferred_categories': ['Appliances'], 'communication_preferences': ['Phone'], 'favorite_products': [72, 85, 57, 82]}"
49,Johnny,Owens,brownangela@example.com,512-995-0703x40976,2020-11-25,2023-11-27,Premium,15,24485.69,1446.05,Partner,True,"{'street': '7922 Adkins Forges Suite 475', 'city': 'North Kristinmouth', 'state': 'MT', 'zip': '33979', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['Phone'], 'favorite_products': [75]}"
50,Sarah,Crane,gregorycole@example.com,5584786335,2020-07-14,2023-01-15,Regular,29,22914.34,470.31,Referral,True,"{'street': '7240 Noah Crescent Suite 046', 'city': 'South Jessica', 'state': 'AL', 'zip': '96232', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['Mail'], 'favorite_products': [97, 98, 38, 34]}"
51,Timothy,Baird,brownvanessa@example.com,001-437-910-0249x558,2020-11-11,2024-03-25,Regular,32,16257.96,888.11,Web Search,True,"{'street': '15068 Aaron Rest', 'city': 'Connerville', 'state': 'CT', 'zip': '27144', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['Mail'], 'favorite_products': []}"
52,Maurice,Williams,brownjessica@example.net,647-314-2411x3470,2023-10-24,2024-01-31,VIP,4,4240.45,311.72,Social Media,False,"{'street': '362 Amanda Park Apt. 525', 'city': 'Port Daniel', 'state': 'AS', 'zip': '60367', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Electronics', 'Furniture'], 'communication_preferences': ['Phone', 'SMS'], 'favorite_products': [98, 76, 60]}"
53,Tammy,Silva,kshah@example.net,(414)920-0811x86058,2025-02-10,2025-03-04,Regular,2,361.73,295.8,Direct,True,"{'street': '85525 Jimenez Route Suite 685', 'city': 'North Erikaburgh', 'state': 'IA', 'zip': '57097', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['Email'], 'favorite_products': [23, 53, 99, 22, 84]}"
54,Eric,Holmes,jonathanpowell@example.com,275.974.4509,2024-06-25,2025-04-14,Premium,10,3457.47,350.35,Web Search,False,"{'street': '788 Beltran Shoal', 'city': 'Charlesmouth', 'state': 'WY', 'zip': '45564', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Appliances', 'Electronics'], 'communication_preferences': ['Email', 'Phone'], 'favorite_products': [30, 93, 83, 87, 10]}"
55,Nicole,Kent,mark14@example.org,482.460.0300x6902,2024-02-25,2024-04-19,New,13,6220.23,550.41,Web Search,True,"{'street': '8118 Janice Trail Apt. 754', 'city': 'Jasminefurt', 'state': 'SD', 'zip': '56243', 'country': 'USA'}","{'preferred_categories': ['Appliances'], 'communication_preferences': ['Email'], 'favorite_products': [7, 28, 34]}"
56,Rebecca,Jackson,williamterry@example.net,717-894-1540x35558,2024-08-08,2025-03-23,Regular,7,2688.96,969.79,Direct,True,"{'street': '972 Murphy Trafficway', 'city': 'Lake Phillipbury', 'state': 'ND', 'zip': '96354', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Clothing'], 'communication_preferences': ['SMS', 'Mail', 'Phone'], 'favorite_products': [12, 17, 72, 61]}"
57,Taylor,Martin,allenelizabeth@example.org,863.365.5175x47375,2020-09-04,2024-08-22,Premium,41,5342.19,113.38,Referral,True,"{'street': '27437 Alvarez Shores', 'city': 'Port Eugene', 'state': 'MN', 'zip': '42250', 'country': 'USA'}","{'preferred_categories': ['Appliances'], 'communication_preferences': ['SMS'], 'favorite_products': [18, 72, 65, 49, 21]}"
58,Frederick,Moore,jeremycallahan@example.com,876.438.1818,2024-02-23,2024-12-17,Premium,6,2081.45,278.1,Referral,False,"{'street': '376 Adriana Turnpike', 'city': 'West John', 'state': 'LA', 'zip': '38360', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['SMS', 'Phone', 'Email'], 'favorite_products': [24, 41, 89]}"
59,Ashley,Lindsey,stephen95@example.com,+1-736-629-3688x1976,2020-11-21,2021-01-19,Premium,27,2955.28,59.39,Referral,True,"{'street': '22567 Michael Street Suite 774', 'city': 'South Danieltown', 'state': 'AK', 'zip': '96070', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Electronics', 'Appliances'], 'communication_preferences': ['Phone', 'Email'], 'favorite_products': [80, 1, 17]}"
60,Yvette,Taylor,gmurray@example.org,629.650.2871x4296,2022-10-25,2022-11-07,Premium,27,9940.39,792.63,Partner,True,"{'street': '1131 Montgomery Underpass Suite 666', 'city': 'New Charles', 'state': 'MH', 'zip': '23511', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Electronics'], 'communication_preferences': ['Phone', 'SMS'], 'favorite_products': [29, 24, 5, 78]}"
61,Gina,Wright,butlerjavier@example.net,001-375-660-1651x590,2022-03-13,2022-09-01,Regular,27,8922.43,399.49,Partner,False,"{'street': '34712 Barber Cape', 'city': 'Millerchester', 'state': 'WY', 'zip': '64475', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['Phone', 'Mail'], 'favorite_products': [18, 71, 61, 24, 55]}"
62,Danny,Long,jessica26@example.com,(328)237-0898,2021-12-16,2022-05-09,New,41,10953.61,276.32,Referral,True,"{'street': '724 Nicholas Port', 'city': 'North Madisontown', 'state': 'OK', 'zip': '23049', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['SMS', 'Email'], 'favorite_products': [94]}"
63,Bryan,Terry,jeremy10@example.com,798-602-7165x06351,2020-12-20,2022-12-05,New,47,16289.76,347.16,Referral,True,"{'street': '0205 Barbara Pass Suite 026', 'city': 'East Jimmy', 'state': 'KY', 'zip': '74621', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Appliances', 'Clothing'], 'communication_preferences': ['Phone'], 'favorite_products': []}"
64,Brian,Moss,danielanderson@example.com,774-482-1169,2023-05-06,2023-12-18,Regular,6,3000.17,172.81,Web Search,True,"{'street': '685 Anna Shoal', 'city': 'Hawkinston', 'state': 'MP', 'zip': '92036', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['Email'], 'favorite_products': [6, 81, 38, 73, 42]}"
65,Thomas,Lynch,clarksteven@example.com,(734)659-6547,2025-01-29,2025-05-02,Regular,2,529.27,486.41,Partner,True,"{'street': '7651 John Oval Suite 600', 'city': 'North Sarah', 'state': 'CO', 'zip': '38579', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Electronics'], 'communication_preferences': ['Email', 'SMS'], 'favorite_products': [7, 39]}"
66,Thomas,Mann,moralesdaniel@example.org,(497)876-9468x56430,2021-09-11,2022-04-19,Regular,13,15612.5,417.63,Referral,True,"{'street': '925 Pamela Mountain', 'city': 'Lake Logan', 'state': 'WA', 'zip': '02634', 'country': 'USA'}","{'preferred_categories': ['Appliances', 'Clothing', 'Furniture'], 'communication_preferences': ['Mail'], 'favorite_products': [68, 86, 39]}"
67,William,Moore,christian74@example.net,397.807.3708,2022-07-25,2023-01-05,Premium,33,6340.88,207.65,Advertisement,True,"{'street': '6752 Stephanie Squares Apt. 107', 'city': 'South Alvin', 'state': 'AL', 'zip': '28062', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['SMS', 'Email', 'Phone'], 'favorite_products': [57]}"
68,Troy,Miller,vchang@example.org,+1-734-312-8733x81551,2020-09-25,2022-09-10,Regular,36,20117.99,422.99,Web Search,True,"{'street': '1668 Payne Manors', 'city': 'Bishopmouth', 'state': 'RI', 'zip': '17735', 'country': 'USA'}","{'preferred_categories': ['Furniture'], 'communication_preferences': ['Mail', 'SMS', 'Phone'], 'favorite_products': [81]}"
69,Robert,Spencer,khernandez@example.net,216-822-3167,2023-09-29,2025-01-17,New,13,4793.56,248.4,Partner,True,"{'street': '822 Goodwin Views Suite 123', 'city': 'Port Masonberg', 'state': 'VI', 'zip': '23475', 'country': 'USA'}","{'preferred_categories': ['Clothing'], 'communication_preferences': ['Email', 'Mail'], 'favorite_products': [79, 96, 99, 27, 47]}"
70,Amanda,Johnson,elizabethphillips@example.org,6809218662,2024-07-21,2025-04-28,Regular,9,2809.25,1435.16,Referral,True,"{'street': '9280 Myers Plain', 'city': 'Smithstad', 'state': 'FM', 'zip': '57729', 'country': 'USA'}","{'preferred_categories': ['Clothing', 'Furniture', 'Electronics'], 'communication_preferences': ['Mail'], 'favorite_products': []}"
71,Matthew,Turner,johnhughes@example.org,+1-325-902-7225x215,2024-03-20,2025-04-29,Regular,4,5303.59,568.79,Referral,False,"{'street': '63450 Sherry Crescent', 'city': 'Dicksonberg', 'state': 'GU', 'zip': '71108', 'country': 'USA'}","{'preferred_categories': ['Electronics'], 'communication_preferences': ['SMS', 'Mail'], 'favorite_products': []}"
72,Richard,Brown,angela82@example.org,(839)808-0827x3180,2022-07-14,2024-07-14,Regular,15,5283.04,212.39,Social Media,True,"{'street': '18126 John Shoals Suite 285', 'city': 'Port Matthewshire', 'state': 'MT', 'zip': '57791', 'country': 'USA'}","{'preferred_categories': ['Furniture', 'Electronics', 'Appliances'], 'communication_preferences': ['Mail'], 'favorite_products': [38, 57, 36]}"
